name;sex;Birthday;Country;age;today;dd
4 Ever Coon A Nice Surprice;F;21.04.2007;DK/DK;16;01.01.2023;
A Black Angel de Khat A Strof;F;;FR/FR;123;01.01.2023;
A Cappella Bystra;F;;PL/PL;123;01.01.2023;
A Carmen of Daabeckcoon;F;30.06.2022;DK/NL;1;01.01.2023;
A Catorama Reddy;F;29.05.2007;US/-;16;01.01.2023;
A Davina Annie;F;12.10.2006;AT/AT;16;01.01.2023;
A Davina Enjoy;F;05.05.2009;AT/AT;14;01.01.2023;
A Davina High Society;F;19.11.2010;AT/AT;12;01.01.2023;
A Davina It's All About Me;F;01.01.2011;AT/DE;12;01.01.2023;
A Davina Itsy Bitsy;F;01.01.2011;AT/AT;12;01.01.2023;
A Famous Angie Cat;F;;AT/AT;123;01.01.2023;
A Famous Funny Cindy;F;;IT/IT;123;01.01.2023;
A Famous Lilly-Darling;F;;-/IT;123;01.01.2023;
A Famous Sheila E De Luco ad Montem;F;20.04.1989;-/AT;34;01.01.2023;
A Favorite Cat Daisy Duck;F;29.07.1993;AT/AT;29;01.01.2023;
A Favorite Cat Eliza Doolittle;F;;AT/-;123;01.01.2023;
A Favorite Cat Gingin;F;17.07.1996;-/-;26;01.01.2023;
A Favorite Cat Goldie Ann;F;;AT/-;123;01.01.2023;
A Favorite Cat Grizzabella;F;17.07.1996;AT/AT;26;01.01.2023;
A Favorite Cat Hot Indian Summer;F;22.01.1998;AT/AT;25;01.01.2023;
A Favorite Cat Sheila E.;F;;AT/AT;123;01.01.2023;
A Favorite Cat Sheila E.;F;;AT/AT;123;01.01.2023;
A Highlander Coon Anastasia;F;24.04.2007;AT/-;16;01.01.2023;
A Highlander Coon Dancing Queen;F;;AT/AT;123;01.01.2023;
A Highlander Coon Leonie;F;07.04.2010;AT/AT;13;01.01.2023;
A Highlander Coon Santana;F;08.02.2012;AT/AT;11;01.01.2023;
A Highlander Coon Unut;F;17.04.2012;AT/AT;11;01.01.2023;
A Highlander Coon Venezia;F;20.04.2012;AT/AT;11;01.01.2023;
A Highlander Coon Winterflower;F;20.04.2012;AT/AT;11;01.01.2023;
A Irunzabal des Rois d'Antan;F;07.07.2005;FR/FR;17;01.01.2023;
A little Diamond of Gideons Ghostrider;F;;DE/DE;123;01.01.2023;
A Lorelei of Windsor Castle;F;;FR/FR;123;01.01.2023;
A Lucky Charm Gyldenl?ve;F;17.10.2007;DK/DK;15;01.01.2023;
A Lucy The Guardian;F;10.12.2016;IT/FR;6;01.01.2023;
A Million Dollar Charlet;F;16.08.2009;NL/NL;13;01.01.2023;
A New Flame Free;F;14.10.2008;NL/NL;14;01.01.2023;
A Nice Moon Alula;F;16.06.2006;NL/NL;17;01.01.2023;
A Nice Moon Ankaa;F;10.04.2010;NL/NL;13;01.01.2023;
A Nice Moon Cephe?de;F;25.03.2005;NL/-;18;01.01.2023;
A Nice Moon Charming Aurora;F;31.08.2004;NL/NL;18;01.01.2023;
A Nice Moon Maia;F;10.04.2010;NL/NL;13;01.01.2023;
A Nice Moon Meissa;F;25.03.2005;NL/NL;18;01.01.2023;
A Nice Moon Mira;F;25.03.2005;NL/NL;18;01.01.2023;
A Nice Moon Mirimiri;F;13.03.2008;NL/NL;15;01.01.2023;
A Nice Moon Nunki;F;05.02.2007;NL/NL;16;01.01.2023;
A Nice Moon Rana;F;10.04.2010;NL/NL;13;01.01.2023;
A Nice Moon Sedna;F;28.03.2005;NL/NL;18;01.01.2023;
A Nice Moon Sitara;F;06.03.2008;NL/NL;15;01.01.2023;
A Nice Moon Tania;F;16.06.2006;NL/NL;17;01.01.2023;
A Nice Moon Tuputuputu;F;13.03.2008;NL/NL;15;01.01.2023;
A Nice Moon Vesta;F;28.03.2005;NL/NL;18;01.01.2023;
A Nice Surprice Gyldenl?ve;F;17.10.2007;DK/DK;15;01.01.2023;
A Nome Di Que Sera;F;17.10.2004;NL/NL;18;01.01.2023;
A Red Pleasure of Shaggy Coons;F;;LU/PL;123;01.01.2023;
A Silverbell of El Dorado;F;06.04.1994;AT/-;29;01.01.2023;
A Small Miracle Gyldenl?ve;F;17.10.2007;DK/DK;15;01.01.2023;
A Star is Born Faith Attraction;F;;NL/-;123;01.01.2023;
A Star is Born Itchy Bitsy;F;16.02.2005;NL/NL;18;01.01.2023;
A Star is Born Poison Ivy;F;16.02.2005;NL/NL;18;01.01.2023;
A Star is Born Snowcoon Zurine;F;26.07.2007;NL/NL;15;01.01.2023;
A Star is Born Sunshine Ginny;F;28.11.2003;NL/-;19;01.01.2023;
A Star is Born vom Pittental;F;;AT/CZ;123;01.01.2023;
A*Ulybka Vesny;F;01.09.2009;RU/RU;13;01.01.2023;
ABCcats Hemene A Cheyenne Maiden;F;;US/-;123;01.01.2023;
Abenaki's Once in A Blue Moon;F;22.10.2018;FR/FR;4;01.01.2023;
Abenzio's 2 B Proud;F;30.07.2013;NL/NL;9;01.01.2023;
Abenzio's Claim 2 B Fame;F;30.07.2013;NL/NL;9;01.01.2023;
Abenzio's Don't Worry B Happy;F;03.09.2016;NL/NL;6;01.01.2023;
A-Cheyenne vom Nenana-Paradies;F;;DE/DE;123;01.01.2023;
Acoonitum's Once Upon A Time;F;29.12.2017;SE/SE;5;01.01.2023;
Actarus B Lily;F;29.11.2006;FR/-;16;01.01.2023;
Action Cat's A Aphrodite;F;26.07.2003;AT/AT;19;01.01.2023;
Action Cat's A Atlanta;F;17.07.2010;AT/AT;12;01.01.2023;
Action Cat's A Black Pearl;F;27.08.2010;AT/AT;12;01.01.2023;
Action Cat's A Blue Angel;F;12.12.2018;AT/AT;4;01.01.2023;
Action Cat's A Blue Diamond;F;27.08.2010;AT/AT;12;01.01.2023;
Action Cat's A Blue Energy;F;27.08.2010;AT/AT;12;01.01.2023;
Action Cat's A Butterfly;F;12.12.2018;AT/AT;4;01.01.2023;
Action Cat's A Caprice;F;04.01.2011;AT/DE;12;01.01.2023;
Action Cat's A Carmen;F;29.12.2003;AT/AT;19;01.01.2023;
Action Cat's A Crazy Schlumpfine;F;05.03.2019;AT/AT;4;01.01.2023;
Action Cat's A Dark Angel;F;03.10.2004;AT/AT;18;01.01.2023;
Action Cat's A Diva;F;03.10.2004;AT/AT;18;01.01.2023;
Action Cat's A El-Luna;F;02.05.2011;AT/AT;12;01.01.2023;
Action Cat's A Fantasy;F;11.10.2004;AT/AT;18;01.01.2023;
Action Cat's A G'White Orchidee;F;18.07.2011;AT/-;11;01.01.2023;
Action Cat's A I Am Josephine;F;23.07.2005;AT/AT;17;01.01.2023;
Action Cat's A Ibiza;F;25.05.2012;AT/AT;11;01.01.2023;
Action Cat's A Imperia;F;11.05.2020;AT/-;3;01.01.2023;
Action Cat's A Isis;F;25.05.2012;AT/AT;11;01.01.2023;
Action Cat's A Ivy Metal;F;11.05.2020;AT/-;3;01.01.2023;
Action Cat's A Jaana;F;21.12.2012;AT/AT;10;01.01.2023;
Action Cat's A Jamaica Sun;F;21.12.2012;AT/AT;10;01.01.2023;
Action Cat's A Jelsy Lee;F;29.01.2006;AT/AT;17;01.01.2023;
